*special,0user_handle,2-sat,binary search,bitmasks,brute force,chinese remainder theorem,combinatorics,constructive algorithms,data structures,dfs and similar,divide and conquer,dp,dsu,expression parsing,fft,flows,games,geometry,graph matchings,graphs,greedy,hashing,implementation,interactive,math,matrices,meet-in-the-middle,number theory,probabilities,schedules,shortest paths,sortings,string suffix structures,strings,ternary search,trees,two pointers
3,Shayan_Shirazi,,20,12,79,,13,67,25,47,3,53,14,1,,,9,8,2,41,136,4,201,,153,2,,29,5,1,27,49,,37,1,17,10
,liqixian,,3,2,12,,4,9,7,,,4,,,,,1,3,,,28,1,22,,24,,,1,1,,,7,,13,,,4
2,TJLG-fly,1,14,4,57,1,3,37,8,5,,26,,1,2,1,4,5,3,7,108,3,183,,137,,,26,2,,3,42,,49,1,4,13
1,shahmah,,14,7,64,,7,47,13,9,,42,2,1,,,4,6,2,7,114,1,203,1,153,,,20,3,,5,39,,58,,6,16
13,MrPerson,1,63,34,114,,28,119,60,29,6,100,12,2,,3,13,14,3,30,262,10,213,7,222,2,1,49,3,3,12,91,2,66,1,19,51
1,kingmessi,,13,27,86,,7,42,28,8,,37,1,,,1,4,9,3,7,112,4,210,,91,1,,14,2,,4,46,,30,1,1,9
,LUlululu1616,1,14,5,9,1,2,7,34,35,3,36,14,,,2,2,,1,34,26,,13,,19,,,6,1,,7,14,,7,,28,7
2,Jalppatel1428,2,82,39,152,,30,160,104,31,5,112,13,1,,3,11,14,2,35,315,11,228,12,250,2,1,59,1,1,11,106,4,69,5,24,51
,jackson.souza,1,14,3,22,,4,33,22,8,1,12,10,,,2,2,2,,6,72,,54,1,42,1,,10,,1,1,26,1,10,1,3,16
2,dbaumg,,9,2,61,,8,27,13,5,2,15,1,6,,,4,11,1,4,78,2,167,3,124,,,35,3,1,3,27,,44,,1,5
,knightmare_,1,21,8,18,,3,43,22,1,,8,2,,,1,6,3,,3,94,2,51,1,56,,,8,,,,28,1,13,4,,14
2,abdelrahman_rashed,1,37,20,79,,15,66,49,17,3,114,7,,,1,6,9,3,19,149,11,150,1,134,3,,30,3,,9,62,2,50,3,9,34
1,Farmer_D,3,37,29,27,1,37,36,98,41,21,91,8,,1,4,3,4,3,25,61,7,30,,59,2,1,36,13,,5,15,7,12,2,45,12
1,SamyakSinghania,1,4,,11,,6,20,8,,,5,,,,,5,1,,1,38,,28,,35,,,6,,,1,10,1,5,,,3
1,_helloLad,1,19,17,49,,4,55,31,5,,17,2,,,2,7,3,,6,117,1,117,,72,2,,12,1,,3,41,1,25,,,22
2,Krypto_Ray,,5,6,33,,5,34,5,9,,22,3,1,,1,1,1,2,15,47,1,49,5,56,,,13,,,3,19,,7,1,3,4
,Gondozu,,18,2,29,,4,38,12,12,2,13,4,,,,3,5,,11,65,,72,,53,1,1,11,,1,1,28,,13,4,8,9
,Kustov_Vadim_533,,2,3,21,1,1,19,8,2,,5,2,,,,1,2,,3,38,,33,,32,,,10,,,1,12,,12,,,4
3,OldMemory,,7,2,17,,,15,14,2,,4,2,1,,,1,3,,2,54,1,50,1,33,,,4,1,,2,12,,21,,,7
,SeaYellow,,,1,3,,,3,1,3,,2,1,,,1,,,,3,9,,10,,5,,,2,,,,2,,3,,,1
1,Vania_Javadi,,47,23,60,,18,70,31,31,7,70,8,1,,,5,5,2,23,142,2,147,2,133,,2,31,1,,17,55,,44,,19,25
,bugmaker3243,,8,10,10,,6,36,13,12,2,17,1,,,,,3,,7,40,,24,3,20,,,5,1,,4,18,,8,1,11,11
1,Scalm,,24,8,49,,4,70,31,9,1,27,3,,,,3,4,,6,94,6,50,3,87,1,,32,1,,1,25,1,12,1,5,13
3,milind0110,,39,12,84,,16,96,42,4,3,51,,,,1,7,7,1,9,175,3,154,6,155,1,,39,3,,4,64,,33,2,1,20
1,vyshniak.n,1,5,1,24,,2,24,8,2,2,14,,,,,,2,1,4,52,,68,,38,,,6,,,4,20,1,22,,2,3
,Maximus11,,36,13,60,,16,74,31,7,,31,8,,,2,7,9,,8,123,3,78,3,97,2,,24,1,1,2,41,,23,,3,22
,Richard1211,,8,11,15,,6,29,15,8,1,13,5,,,,4,4,,8,40,5,20,,41,,1,5,5,,1,9,,12,,7,6
7,Faizal,,28,7,51,,12,57,25,7,,20,3,1,,,2,7,1,9,104,9,98,2,98,,1,22,1,,5,34,,36,1,2,18
,Zero_L,,9,12,15,,3,25,6,4,,8,1,,,,,2,,3,38,1,13,2,32,,,9,2,,1,14,,10,1,2,3
1,kovir_aleksey_korroy,,10,6,33,,2,24,7,2,1,8,2,,,,,5,,3,52,,39,2,47,,,14,1,,2,15,,14,,,5
2,Qazall,,64,21,76,,16,69,39,60,10,112,27,,,1,6,4,2,58,157,4,132,1,140,,1,33,,,23,48,,29,,31,34
,charan,,8,2,20,,2,17,11,2,1,5,2,,,1,1,4,,5,44,1,36,1,27,,,2,1,,1,9,,14,,1,4
,Auroraa_,,5,2,7,,,4,2,10,,6,9,,,,,1,,4,21,,19,1,11,,,3,,,,3,,6,,1,
3,AkibAzmain,,17,11,33,,5,27,18,4,1,16,1,1,,1,,4,1,4,67,2,41,3,51,,,15,1,,1,20,,17,,2,7
4,Rising-coder,,43,30,82,1,16,94,39,37,1,53,20,,,1,10,6,1,35,190,4,188,1,144,1,,37,2,2,8,83,,35,1,14,31
4,Oreki.,,2,,23,,2,17,4,1,,5,,,,,3,3,,,37,1,32,,36,,,8,,,1,13,,18,,2,5
,Soumojitkgp,,6,3,16,,2,11,6,5,,7,2,,,,,1,,3,18,,16,,25,,,9,,,1,6,,7,,,2
1,xbai,,36,22,53,,16,79,35,18,1,36,9,,,,11,6,,17,128,4,114,3,126,,,22,2,1,4,48,,38,1,9,20
1,FransValli,,9,8,33,,2,24,14,8,,9,,,,1,9,1,1,7,36,1,46,2,31,,,14,,,2,10,,7,1,2,2
,a6z,,1,2,6,,,15,3,2,,2,1,,,,,2,,2,14,,9,,15,,,1,,,,3,,2,,,1
1,Tamora,1,17,11,59,,7,56,26,14,2,23,7,,,,4,11,,13,118,5,144,,91,1,,15,1,3,3,49,1,37,2,1,18
13,Ferrriccc,1,43,23,100,,10,101,40,2,,43,2,1,,1,16,10,1,4,207,1,120,2,167,1,,38,1,,2,66,1,49,1,1,35
2,bananasaur,,5,4,31,,4,35,2,2,,11,1,1,,,4,3,,1,74,1,59,,80,,,10,,,,21,,23,,1,2
